=================================================
FastCopy(ver5.4.2 (Admin)) start at 2023/11/19 07:21:15
<Source>  C:\Users\M\Desktop\WebPages\
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\image-14.png   <20230809-091900 12,346>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\image-15.png   <20230809-091900 15,178>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\image-16.png   <20230809-091900 19,525>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\image-17.png   <20230809-091900 10,884>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\image-18.png   <20230809-091900 14,016>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\image-19.png   <20230809-091859 20,798>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\image-2.png   <20230809-091859 33,023>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\image-20.png   <20230809-091900 26,274>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\image-21.png   <20230809-091900 9,985>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\image-3.png   <20230809-091900 14,814>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\image-7.png   <20230809-091900 575,301>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\image-8.png   <20230809-091900 203,369>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\image-9.png   <20230809-091900 540,278>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\jquery-3.js   <20230809-091900 89,476>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\JUt2nb0mgwg.htm   <20230809-091900 121,192>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\kvmbanner-logo3.png   <20230809-091900 16,832>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\Merge-arrows-2.png   <20230809-091900 1,646>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\openlogo-50.svg   <20230809-091900 6,991>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\portal.js   <20230809-091900 495,616>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\screen.css   <20230809-091859 32,811>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\Screenshot-2022-11-03-174613-2.png   <20230809-091900 15,810>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\Screenshot-2022-11-03-174613-2_002.png   <20230809-091900 7,974>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\Screenshot-2022-11-03-174613-2_003.png   <20230809-091900 18,239>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\Screenshot-2022-11-03-174613-2_004.png   <20230809-091900 15,810>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\Screenshot-2022-11-07-090626.png   <20230809-091900 68,609>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\Screenshot-2022-11-07-090626_002.png   <20230809-091900 68,609>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\Screenshot-2022-11-07-090626_003.png   <20230809-091900 50,324>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\Screenshot-2022-11-07-090626_004.png   <20230809-091900 18,070>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\Screenshot-2023-05-30-104009.png   <20230809-091900 30,957>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\Screenshot-2023-05-30-104009_002.png   <20230809-091900 107,714>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\Screenshot-2023-05-30-104009_003.png   <20230809-091900 93,502>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\Screenshot-2023-05-30-104009_004.png   <20230809-091900 107,714>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\a_data\   <20231118-184340>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\a_data\articlewsl2customkernel-1-1024x538.png   <20230809-091900 598,571>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\a_data\articlewsl2customkernel-1-300x158.png   <20230809-091859 72,793>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\a_data\articlewsl2customkernel-1-768x403.png   <20230809-091900 366,170>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\a_data\articlewsl2customkernel-1.png   <20230809-091900 812,967>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\a_data\cropped-bbolinhaMarcaNoav-150x150.png   <20230809-091900 14,190>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\a_data\cropped-bbolinhaMarcaNoav-32x32.png   <20230809-091859 1,985>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\a_data\wp-emoji-release.js   <20230809-091859 18,181>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\JUt2nb0mgwg_data\   <20231118-184340>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\JUt2nb0mgwg_data\ad_status.js   <20230809-091900 29>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\JUt2nb0mgwg_data\base.js   <20230809-091859 2,433,241>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\JUt2nb0mgwg_data\embed.js   <20230809-091859 41,747>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\JUt2nb0mgwg_data\fetch-polyfill.js   <20230809-091859 9,617>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\JUt2nb0mgwg_data\www-embed-player.js   <20230809-091859 319,582>
+ H:\Windows\Desktop\WebPages\Accelerated KVM guests on WSL 2_files\JUt2nb0mgwg_data\www-player.css   <20230809-091859 390,102>
+ H:\Windows\Desktop\WebPages\Accelerating QEMU on Windows with HAXM - QEMU_files\   <20231118-184340>
+ H:\Windows\Desktop\WebPages\Accelerating QEMU on Windows with HAXM - QEMU_files\css.css   <20230809-060335 10,716>
+ H:\Windows\Desktop\WebPages\Accelerating QEMU on Windows with HAXM - QEMU_files\font-awesome.css   <20230809-060335 29,063>
+ H:\Windows\Desktop\WebPages\Accelerating QEMU on Windows with HAXM - QEMU_files\haxm-installer-windows.png   <20230809-060335 62,732>
+ H:\Windows\Desktop\WebPages\Accelerating QEMU on Windows with HAXM - QEMU_files\jquery.js   <20230809-060335 96,381>
+ H:\Windows\Desktop\WebPages\Accelerating QEMU on Windows with HAXM - QEMU_files\normalize.css   <20230809-060335 8,053>
+ H:\Windows\Desktop\WebPages\Accelerating QEMU on Windows with HAXM - QEMU_files\qemu-debian-wheezy-shell-with-haxm.png   <20230809-060335 14,112>
+ H:\Windows\Desktop\WebPages\Accelerating QEMU on Windows with HAXM - QEMU_files\skel-noscript.css   <20230809-060335 841>
+ H:\Windows\Desktop\WebPages\Accelerating QEMU on Windows with HAXM - QEMU_files\style-desktop.css   <20230809-060335 5,401>
+ H:\Windows\Desktop\WebPages\Accelerating QEMU on Windows with HAXM - QEMU_files\style-mobile.css   <20230809-060335 6,934>
+ H:\Windows\Desktop\WebPages\Accelerating QEMU on Windows with HAXM - QEMU_files\style.css   <20230809-060335 10,828>
+ H:\Windows\Desktop\WebPages\Accelerating QEMU on Windows with HAXM - QEMU_files\windows-features-hyperv.png   <20230809-060335 16,916>
+ H:\Windows\Desktop\WebPages\Apt Update Not Working on Windows Subsystem for Linux [SOLVED]_files\   <20231118-184340>
+ H:\Windows\Desktop\WebPages\Apt Update Not Working on Windows Subsystem for Linux [SOLVED]_files\all.css   <20230808-105242 59,344>
+ H:\Windows\Desktop\WebPages\Apt Update Not Working on Windows Subsystem for Linux [SOLVED]_files\bootstrap.css   <20230808-105242 121,457>
+ H:\Windows\Desktop\WebPages\Apt Update Not Working on Windows Subsystem for Linux [SOLVED]_files\bootstrap.js   <20230808-105242 37,045>
+ H:\Windows\Desktop\WebPages\Apt Update Not Working on Windows Subsystem for Linux [SOLVED]_files\css.css   <20230808-105242 1,759>
+ H:\Windows\Desktop\WebPages\Apt Update Not Working on Windows Subsystem for Linux [SOLVED]_files\custom.css   <20230808-105242 2,126>
+ H:\Windows\Desktop\WebPages\Apt Update Not Working on Windows Subsystem for Linux [SOLVED]_files\jquery.js   <20230808-105242 88,145>
+ H:\Windows\Desktop\WebPages\Apt Update Not Working on Windows Subsystem for Linux [SOLVED]_files\main.css   <20230808-105242 1,324>
+ H:\Windows\Desktop\WebPages\Apt Update Not Working on Windows Subsystem for Linux [SOLVED]_files\MathJax.js   <20230808-105242 63,532>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\   <20221122-024852>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\007b6ccc06ddcebd6fcd1e64a40e04cd.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\0b1a35cf917c9229c75938613115bcc7.png   <20221117-181056 1,544>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\121ff7df2cf8c4525267f8314db4a4f5.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\12a428d6a6272fc1e7c7983fc7476c09.png   <20221117-181056 2,813>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\1d1607ac0be2ef3caa01e87b8c43a12b.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\200337a18f4bb6bb8827ae91ad5534a6.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\28451402a48e9c3ef5546a0c6add79ce.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\2ce9b5d73bc8de9ef528beb051231101.jpg   <20221117-181056 909>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\2f0e7f5e73e207ef33acb1237b6cbca6.png   <20221117-181056 125>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\2f24ff7e9429ce6de1be3a004bdced50.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\38646071cc8c1dc0e23ef12e25e3abd2.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\4b61e8ed21673feddd950a9a23619c3e.jpeg   <20221117-181056 1,378>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\4c8a9bec5a27b66b28d3c5cddeb70e93.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\4e04b0b6cb93d4ac4af30864b01007a3.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\5006a2c08a0551e35e11e2695cdc1e5b.png   <20221117-181056 617>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\5e5c6a1bba9aa044aad619d406c2e80d.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\6ef7e797d28ebed26f54216a68d5fa69.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\72079e890cd57bb690b7bf6cbe25c186.jpeg   <20221117-181056 1,136>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\74af68f9a2e84a36878e935f3fcddea4.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\7b278e3db4794b9aca47eea27b050531.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\808e200380078e75d6f9247e985f58a4.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\820d0e4ee14e986a44d33782ca852f51.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\825a02b343cd54b759624d21c1f08342.jpg   <20221117-181057 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\82b18719b624fc1f88c28b614c52fc4d.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\87978f357c6bf2cdf97f69824e298222.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\9eaca680e74628559093e7cda62d5f3c.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\a74d017f01e148b91b96e06a73c6a037.jpeg   <20221117-181056 1,215>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\all.min.css   <20221117-181033 7,584>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\babb8dd2baeecbc05b2502e75c5f4a2a.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\blue-rust.css   <20221117-181033 166>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\c0790eb06ff85f4c362c61475907f9ac.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\c6a0ac599bd552391b9979dce8195d2c.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\c8c8629f9e071f1d68ff486354bb41b7.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\d1a44de517496f2154711f6a0cc4373c.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\d416b21432aeeb636762b59cd58b2eb7.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\d6b5d3bcdbab735dc266a25fc44a1986.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\de6990f5d7e8ea9659de25a344cc9f44.png   <20221117-181057 3,096>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\defd4aadf3c1de3280aa0ff4cbc80ace.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\e16df588072718e001063ac5a6209a56.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\e9c4487e03528e6420fcc491b32144ab.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\ecb0a9788c57f5875c1308954da864a1.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\f7d71c363982cf5a565da29859faf425.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\fea244bd1c80e631e71b9db08e1493fd.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\fontawesome.min.css   <20221117-181033 5,671>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\ga.js   <20221117-181033 46,274>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\label-comment-zone.png   <20221117-181033 1,435>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\label-main-nav.png   <20221117-181033 1,128>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\label-main-nav@2x.png   <20221117-181037 2,062>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\label-post-content.png   <20221117-181033 1,560>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\label-post-content@2x.png   <20221117-181036 2,983>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\label-post-title.png   <20221117-181033 1,374>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\label-post-title@2x.png   <20221117-181036 2,514>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\label-site-title.png   <20221117-181033 1,052>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\label-toaster-void.png   <20221117-181033 1,641>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\logo-circular.png   <20221117-181033 60,240>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\logo-circular@2x.png   <20221117-181036 134,306>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\logo-horizontal.png   <20221117-181033 12,710>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\logo-horizontal@2x.png   <20221117-181036 24,742>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\luminous-basic.css   <20221117-181033 5,169>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\Luminous.js   <20221117-181033 9,423>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\none.jpg   <20221117-181056 911>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\prism.css   <20221117-181033 3,314>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\prism.js   <20221117-181033 35,344>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\style.css   <20221117-181033 169,098>
+ H:\Windows\Desktop\WebPages\Awesome Toast Delete all hidden Mac junk files in Windows (Like .DS_STORE)_files\toasty.js   <20221117-181033 4,809>
+ H:\Windows\Desktop\WebPages\Build An Accelerated KVM Guest Custom Kernel for WSL 2 - 2022 Edition_files\   <20231118-184340>
+ H:\Windows\Desktop\WebPages\Build An Accelerated KVM Guest Custom Kernel for WSL 2 - 2022 Edition_files\5546CC9B-B5B9-4408-BC28-DF22DB1F89AE.jpeg   <20231029-191452 3,827>
+ H:\Windows\Desktop\WebPages\Build An Accelerated KVM Guest Custom Kernel for WSL 2 - 2022 Edition_files\cards.css   <20231029-191452 26,093>
+ H:\Windows\Desktop\WebPages\Build An Accelerated KVM Guest Custom Kernel for WSL 2 - 2022 Edition_files\cards.js   <20231029-191452 7,400>
+ H:\Windows\Desktop\WebPages\Build An Accelerated KVM Guest Custom Kernel for WSL 2 - 2022 Edition_files\casper.js   <20231029-191452 2,866>
+ H:\Windows\Desktop\WebPages\Build An Accelerated KVM Guest Custom Kernel for WSL 2 - 2022 Edition_files\image-18.png   <20231029-191452 371,279>
+ H:\Windows\Desktop\WebPages\Build An Accelerated KVM Guest Custom Kernel for WSL 2 - 2022 Edition_files\image-18_002.png   <20231029-191452 206,078>
+ H:\Windows\Desktop\WebPages\Build An Accelerated KVM Guest Custom Kernel for WSL 2 - 2022 Edition_files\image-18_003.png   <20231029-191452 353,770>
+ H:\Windows\Desktop\WebPages\Build An Accelerated KVM Guest Custom Kernel for WSL 2 - 2022 Edition_files\image-21.png   <20231029-191452 623,838>
+ H:\Windows\Desktop\WebPages\Build An Accelerated KVM Guest Custom Kernel for WSL 2 - 2022 Edition_files\image-21_002.png   <20231029-191452 591,898>
+ H:\Windows\Desktop\WebPages\Build An Accelerated KVM Guest Custom Kernel for WSL 2 - 2022 Edition_files\image-21_003.png   <20231029-191452 306,411>
+ H:\Windows\Desktop\WebPages\Build An Accelerated KVM Guest Custom Kernel for WSL 2 - 2022 Edition_files\image-22.png   <20231029-191452 141,591>
+ H:\Windows\Desktop\WebPages\Build An Accelerated KVM Guest Custom Kernel for WSL 2 - 2022 Edition_files\image-22_002.png   <20231029-191452 61,990>
+ H:\Windows\Desktop\WebPages\Build An Accelerated KVM Guest Custom Kernel for WSL 2 - 2022 Edition_files\image-22_003.png   <20231029-191452 135,212>
+ H:\Windows\Desktop\WebPages\Build An Accelerated KVM Guest Custom Kernel for WSL 2 - 2022 Edition_files\image-23.png   <20231029-191452 468,721>
+ H:\Windows\Desktop\WebPages\Build An Accelerated KVM Guest Custom Kernel for WSL 2 - 2022 Edition_files\image-23_002.png   <20231029-191452 447,076>
